jsonl_line,task_id,api_group,api,generation_seed,ab_order,finish_reason,raw_token_count,generation_seconds,parseable,runnable,target_valid,oracle_bearing,error_labels,failure_cluster,exact_turn_delimiter,turn_delimiter_or_prefix,end_of_turn_count,start_of_turn_count,role_sequence,unclosed_markdown_fence,unclosed_quote,unclosed_bracket_depth,unclosed_brackets,unclosed_block_at_eof,compile_status,repeated_suffix_block_tokens,repeated_suffix_repetitions,ngram4_repeat_fraction,ngram4_max_count,ngram8_repeat_fraction,ngram8_max_count,output_chars,output_lines,prompt_echo_phrases,raw_output_sha256,ast_reason
11,trdgl_pytorch_120_v1|torch.as_tensor|3407,tensor_creation,torch.as_tensor,3407,B2_then_B3,length,599,17.97,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,2,2,user>model,False,False,0,,True,invalid,0,1,0.26940639269406397,6,0.13594470046082952,3,1962,58,Generate a unit test,2bc184e0b910cebf96b028e9a6ded815e9c05066f5de633a01653d32e1e033e7,"syntax: invalid syntax (<unknown>, line 23)"
12,trdgl_pytorch_120_v1|torch.as_tensor|7711,tensor_creation,torch.as_tensor,7711,B3_then_B2,length,600,16.97,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,4,4,user>model>user>model,False,False,0,,False,invalid,0,1,0.2698019801980198,5,0.1725,5,1997,53,,b4611e6314f2f1286380c30c2e03861e06ba92f826a465cfedd14d0fb3358389,"syntax: invalid syntax (<unknown>, line 17)"
13,trdgl_pytorch_120_v1|torch.autograd.functional.jacobian|3407,autograd_transform_compile_and_export,torch.autograd.functional.jacobian,3407,B2_then_B3,length,600,18.667,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,6,6,user>model>user>model>user>model,False,False,0,,False,invalid,0,1,0.4539170506912442,9,0.3441860465116279,3,2160,61,Generate a unit test,6a1f671849cb4936c92f425076c29743d2f40cd1830dccb1e5e2581d6f6f8953,"syntax: invalid syntax (<unknown>, line 15)"
14,trdgl_pytorch_120_v1|torch.autograd.functional.jacobian|7711,autograd_transform_compile_and_export,torch.autograd.functional.jacobian,7711,B3_then_B2,length,601,18.424,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,7,6,user>model>user>model>user>model,False,False,0,,False,invalid,0,1,0.4975845410628019,10,0.348780487804878,3,2047,65,Generate a unit test,39ffbc87803ca341f294f01e40ae36f8f9328a42d23c47ce51cfe26b68288514,"syntax: invalid syntax (<unknown>, line 15)"
15,trdgl_pytorch_120_v1|torch.autograd.grad|3407,autograd_transform_compile_and_export,torch.autograd.grad,3407,B2_then_B3,length,600,18.933,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,6,6,user>model>user>model>user>model,False,False,2,((,False,invalid,0,1,0.6851851851851851,7,0.6495327102803738,4,1964,44,,303f0ac70364e37c935db0b3776503e379ef08502585f1fd1f18d8a25361e140,"syntax: invalid syntax (<unknown>, line 10)"
16,trdgl_pytorch_120_v1|torch.autograd.grad|7711,autograd_transform_compile_and_export,torch.autograd.grad,7711,B3_then_B2,length,600,18.691,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,6,6,user>model>user>model>user>model,False,False,0,,False,invalid,0,1,0.6924829157175398,7,0.6735632183908046,4,1975,69,Generate rigorous PyTorch API tests|Output exactly one,f237179477a6e38b0fb40d371fcf251bb4f9c8d5ad809bf6dc32f18aa7d45e3e,"syntax: invalid syntax (<unknown>, line 17)"
17,trdgl_pytorch_120_v1|torch.bmm|3407,linear_algebra,torch.bmm,3407,B2_then_B3,length,600,19.44,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,3,3,user>model>user,False,False,0,,False,invalid,0,1,0.375,6,0.3130630630630631,4,2067,65,Requirements:|Start with import torch,7f877ad28ff4b0e017eaefdc5752b7e9558aa6c815872cfdca59780674cbb60e,"syntax: invalid syntax (<unknown>, line 26)"
18,trdgl_pytorch_120_v1|torch.bmm|7711,linear_algebra,torch.bmm,7711,B3_then_B2,length,599,17.998,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,2,2,user>model,False,False,0,,False,invalid,0,1,0.08102345415778256,4,0.0021505376344086446,2,2174,65,Create a tiny deterministic CPU test|Requirements:|Documentation snapshot:|Start with import torch,89a569660ed9489ca38637923e6743fb93ad5a80b03ea57c82066a2bb8bfd40b,"syntax: invalid syntax (<unknown>, line 33)"
19,trdgl_pytorch_120_v1|torch.cat|3407,shape_and_composition,torch.cat,3407,B2_then_B3,length,599,19.848,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,1,1,user,False,False,1,(,False,invalid,0,1,0.2072072072072072,5,0.10909090909090913,3,1716,54,Generate rigorous PyTorch API tests|Documentation snapshot:,fa35180436d88d8b9ca5d7a2af92d92c5202e8a1eddb9990807c79080590b73a,"syntax: invalid syntax (<unknown>, line 18)"
20,trdgl_pytorch_120_v1|torch.cat|7711,shape_and_composition,torch.cat,7711,B3_then_B2,length,600,18.393,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,3,3,user>model>user,False,False,0,,False,invalid,0,1,0.2692307692307693,5,0.1187214611872146,3,2010,55,Generate rigorous PyTorch API tests|Requirements:|Start with import torch,4b43342d1f1b5efe8e5c35681bb3b6948b4b0e93c013beef6b407c48b32b60e9,"syntax: invalid decimal literal (<unknown>, line 21)"
21,trdgl_pytorch_120_v1|torch.chunk|3407,shape_and_composition,torch.chunk,3407,B2_then_B3,length,600,19.367,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,2,2,user>model,False,False,0,,False,invalid,0,1,0.3018433179723502,5,0.21162790697674416,3,2017,54,,fd3f9342c859668b6b36e40122511e10d7bc12d7f22fb786ef867c4acced3c3d,"syntax: invalid syntax (<unknown>, line 23)"
22,trdgl_pytorch_120_v1|torch.chunk|7711,shape_and_composition,torch.chunk,7711,B3_then_B2,length,600,18.06,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,2,2,user>model,False,False,5,([(([,False,invalid,0,1,0.16344086021505377,4,0.06507592190889366,3,2048,48,Generate a unit test,84cf8caf3e00d0af6113786afce740643522f1691f93f607faceef6e2a378240,"syntax: invalid syntax (<unknown>, line 37)"
23,trdgl_pytorch_120_v1|torch.compile|3407,autograd_transform_compile_and_export,torch.compile,3407,B2_then_B3,length,600,18.866,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,4,4,user>model>user>model,False,False,1,(,False,invalid,0,1,0.48115299334811534,3,0.4116331096196868,3,2156,79,Generate a unit test,adb76eae2ffec9c5ef2a81ddaa0e5c367c1f98fffdf1e6c665e944adb137754f,"syntax: invalid syntax (<unknown>, line 37)"
24,trdgl_pytorch_120_v1|torch.compile|7711,autograd_transform_compile_and_export,torch.compile,7711,B3_then_B2,length,599,18.627,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,5,5,user>model>user>model>user,False,False,0,,False,invalid,0,1,0.5630630630630631,3,0.5227272727272727,3,2083,82,Generate a unit test,e3dd18d6d89565a000544f1f277c8d580d6061f25898097b08b95608e57a11ed,"syntax: invalid syntax (<unknown>, line 26)"
25,trdgl_pytorch_120_v1|torch.dot|3407,linear_algebra,torch.dot,3407,B2_then_B3,length,599,18.949,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,3,3,user>model>user,False,False,0,,False,invalid,0,1,0.4411134903640257,4,0.36501079913606915,4,2208,59,Requirements:|Start with import torch,2c36a4d8d1464969f11e50c5216aba4d7a7ea099fb7ec1f9af8a2dcb347835db,"syntax: invalid syntax (<unknown>, line 20)"
26,trdgl_pytorch_120_v1|torch.dot|7711,linear_algebra,torch.dot,7711,B3_then_B2,length,601,17.453,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,3,3,user>model>user,False,False,0,,False,invalid,0,1,0.4684317718940937,4,0.4271047227926078,4,2183,57,Requirements:|Start with import torch,9205926ce9d67082275482d29eda20a0713320c30014a48a16a47ed74f63af50,"syntax: invalid syntax (<unknown>, line 20)"
27,trdgl_pytorch_120_v1|torch.einsum|3407,linear_algebra,torch.einsum,3407,B2_then_B3,length,600,19.781,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,3,3,user>model>user,False,False,0,,False,invalid,0,1,0.2817204301075269,4,0.16052060737527118,2,2163,58,Requirements:|Start with import torch,44ab47d361622bc4cddf5e978a08c0781c9660d3bcf094376ca466e05d10cab8,"syntax: invalid syntax (<unknown>, line 21)"
28,trdgl_pytorch_120_v1|torch.einsum|7711,linear_algebra,torch.einsum,7711,B3_then_B2,length,600,18.248,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,3,4,user>model>user>model,False,False,1,(,False,invalid,0,1,0.5220264317180616,6,0.48,3,2193,56,Generate rigorous PyTorch API tests|Requirements:|Start with import torch,af3d29cb9bba007aebf3f4a612dc50416a86e5807b08578ba2a85db651bc450a,"syntax: invalid syntax (<unknown>, line 14)"
29,trdgl_pytorch_120_v1|torch.empty|3407,tensor_creation,torch.empty,3407,B2_then_B3,length,600,19.745,False,False,False,False,syntax,turn_delimiter_runaway_syntax,False,True,0,0,(none),False,False,0,,False,invalid,0,1,0.44372294372294374,4,0.40829694323144106,3,2384,52,Requirements:,160315a376ad1a060ee4ad92fe18fbc55f713013ffc313657bca055b0069f3f7,"syntax: invalid syntax (<unknown>, line 19)"
30,trdgl_pytorch_120_v1|torch.empty|7711,tensor_creation,torch.empty,7711,B3_then_B2,length,602,18.187,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,1,1,user,False,True,1,{,False,invalid,0,1,0.1370143149284253,6,0.024742268041237137,2,2289,52,Target API:|Documentation snapshot:,bb68e88f6aa04f8947fa9ffa9ab3f55e8615d26715e335d7160f77c6709d2d64,"syntax: f-string: expecting '}' (<unknown>, line 14)"
31,trdgl_pytorch_120_v1|torch.export.export|3407,autograd_transform_compile_and_export,torch.export.export,3407,B2_then_B3,length,600,18.763,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,4,4,user>model>user>model,False,False,0,,False,invalid,0,1,0.4533898305084746,6,0.38247863247863245,3,2167,64,,865a9a9f9add8ebd403f670fbe1c760fb4fb206479967c18e2244d58923a0d04,"syntax: invalid syntax (<unknown>, line 26)"
32,trdgl_pytorch_120_v1|torch.export.export|7711,autograd_transform_compile_and_export,torch.export.export,7711,B3_then_B2,length,600,18.534,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,5,5,user>model>user>model>user,False,False,0,,False,invalid,0,1,0.6428571428571428,9,0.6004366812227074,3,2091,69,Generate a unit test,aaa78beb782073be70b6c0ff38de5b302124704135f36364d765d81b6c1732e7,"syntax: invalid syntax (<unknown>, line 21)"
33,trdgl_pytorch_120_v1|torch.eye|3407,tensor_creation,torch.eye,3407,B2_then_B3,length,599,19.234,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,2,2,user>model,False,False,1,(,False,invalid,0,1,0.3302325581395349,4,0.28873239436619713,2,2325,65,Requirements:|Start with import torch,80113fdfb05dd7fc5b2a53ebba891bb1641990a4c22f50e503eb5bca7480ce20,"syntax: invalid decimal literal (<unknown>, line 35)"
34,trdgl_pytorch_120_v1|torch.eye|7711,tensor_creation,torch.eye,7711,B3_then_B2,length,600,17.744,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,3,3,user>model>user,False,False,0,,False,invalid,0,1,0.1741071428571429,3,0.11936936936936937,2,2354,55,Generate a unit test|Requirements:|Start with import torch,13e0eab2a261759f15a11efc82934784cf417736ec9c36ed82b53618aaa3f8bc,"syntax: invalid syntax (<unknown>, line 20)"
35,trdgl_pytorch_120_v1|torch.fft.fft2|3407,fft_and_spectral,torch.fft.fft2,3407,B2_then_B3,length,600,18.852,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,2,2,user>model,False,False,1,(,False,invalid,0,1,0.3311827956989247,9,0.2950108459869848,2,1998,44,Generate a unit test|Requirements:|Start with import torch,161032df064ec542a2d231c8e41a9632fa3b5751a546ec4ea996f70c7987396d,"syntax: invalid syntax (<unknown>, line 20)"
36,trdgl_pytorch_120_v1|torch.fft.fft2|7711,fft_and_spectral,torch.fft.fft2,7711,B3_then_B2,length,600,18.521,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,6,3,user>user>user,False,True,0,,False,invalid,0,1,0.6428571428571428,12,0.5743243243243243,3,2068,54,,00c6a243e9452379a2b8e23a8632090d227285b260c991ef4f0c0d9ab19f5088,"syntax: unterminated string literal (detected at line 17) (<unknown>, line 17)"
37,trdgl_pytorch_120_v1|torch.fft.fftn|3407,fft_and_spectral,torch.fft.fftn,3407,B2_then_B3,length,600,18.801,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,2,2,user>model,False,False,0,,False,invalid,0,1,0.1586901763224181,9,0.043256997455470736,3,2206,53,Generate a unit test|Requirements:,9e80347db505ff25db482181ecba2cecef5b851707a3871c1ee13eaeae0fda66,"syntax: invalid decimal literal (<unknown>, line 28)"
38,trdgl_pytorch_120_v1|torch.fft.fftn|7711,fft_and_spectral,torch.fft.fftn,7711,B3_then_B2,length,600,18.548,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,5,6,user>model>user>model>user>model,False,False,0,,False,invalid,0,1,0.5883838383838385,9,0.5,3,2027,56,Generate rigorous PyTorch API tests|Output exactly one,b717fde29425f74b3da707bf31ed89a31c4eea02d20cac0783cecb2cf72aa50f,"syntax: invalid syntax (<unknown>, line 15)"
39,trdgl_pytorch_120_v1|torch.fft.fft|3407,fft_and_spectral,torch.fft.fft,3407,B2_then_B3,length,599,18.631,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,1,2,user>model,False,False,1,(,False,invalid,0,1,0.1138392857142857,6,0.027027027027026973,2,1972,49,Generate a unit test|Requirements:,75d9e84ea0ee811e7c6b342b9a4ce273bfd14cfe800d568308460b7695534398,"syntax: invalid syntax (<unknown>, line 27)"
40,trdgl_pytorch_120_v1|torch.fft.fft|7711,fft_and_spectral,torch.fft.fft,7711,B3_then_B2,length,600,18.378,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,4,4,user>model>user>model,False,False,0,,False,invalid,0,1,0.3973509933774835,10,0.22717149220489974,4,2109,46,Generate a unit test|Requirements:,1645f5a33b6c26e2dd8db9885a4a611964b0741f133f52cfda97a0f25347acd7,"syntax: invalid syntax (<unknown>, line 18)"
41,trdgl_pytorch_120_v1|torch.fft.hfft|3407,fft_and_spectral,torch.fft.hfft,3407,B2_then_B3,length,600,18.789,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,1,1,user,False,False,0,,False,invalid,0,1,0.36946902654867253,8,0.2366071428571429,3,2030,56,Generate a unit test|Requirements:,202baad676ec212e9979483d642f3ec75d48652ab0a746bd44c58596fea0d74e,"syntax: invalid syntax (<unknown>, line 21)"
42,trdgl_pytorch_120_v1|torch.fft.hfft|7711,fft_and_spectral,torch.fft.hfft,7711,B3_then_B2,length,600,18.344,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,3,4,user>model>user>model,False,False,0,,False,invalid,0,1,0.4849315068493151,7,0.3961218836565097,3,2059,54,Generate rigorous PyTorch API tests|Output exactly one,92fab0c9d81ae3ac2f2f34a1f29b332c871bec10c9220f0911dc42e3411c5506,"syntax: invalid syntax (<unknown>, line 21)"
43,trdgl_pytorch_120_v1|torch.fft.ifft2|3407,fft_and_spectral,torch.fft.ifft2,3407,B2_then_B3,length,600,18.778,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,4,2,user>user,False,False,2,((,False,invalid,0,1,0.4975845410628019,14,0.3317073170731707,3,1888,51,,3e2688dffc0ceca8cb43d36ecb156c098bba75b02b32875227c88e2e0c4a6483,"syntax: invalid syntax (<unknown>, line 20)"
44,trdgl_pytorch_120_v1|torch.fft.ifft2|7711,fft_and_spectral,torch.fft.ifft2,7711,B3_then_B2,length,600,18.323,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,6,6,user>model>user>model>user>model,False,False,4,([[[,False,invalid,0,1,0.6753507014028056,24,0.6,12,1657,48,,68b8687980ed0bc85f45d4908fa26d3e9bab81d6d6dc963e1ac332043321eb17,"syntax: invalid syntax (<unknown>, line 13)"
45,trdgl_pytorch_120_v1|torch.fft.ifftn|3407,fft_and_spectral,torch.fft.ifftn,3407,B2_then_B3,length,599,18.715,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,3,3,user>model>user,False,False,0,,False,invalid,0,1,0.4721603563474388,16,0.40674157303370784,4,2060,44,Generate rigorous PyTorch API tests|Requirements:,e4b3c1038672e9719480d8d2cebae0dfa61a4bda47786769df0c5b5eec81e6e5,"syntax: invalid syntax (<unknown>, line 15)"
46,trdgl_pytorch_120_v1|torch.fft.ifftn|7711,fft_and_spectral,torch.fft.ifftn,7711,B3_then_B2,length,600,18.329,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,2,2,user>model,False,False,0,,False,invalid,0,1,0.30403800475059384,10,0.16546762589928055,4,2107,55,Generate a unit test|Requirements:,9a87e9305a61e81b20f43bf68fd68c3d83a3999be4d33336f42d6b18deab4b92,"syntax: invalid syntax (<unknown>, line 24)"
47,trdgl_pytorch_120_v1|torch.fft.ifft|3407,fft_and_spectral,torch.fft.ifft,3407,B2_then_B3,length,600,18.231,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,4,2,user>user,False,False,0,,False,invalid,0,1,0.17788461538461542,6,0.08495145631067957,2,1999,49,Generate a unit test,89fc60b35b141ccebfd72bfa2e8f0ae6331cbac3b82c7c8c768ae0c7675231c3,"syntax: invalid syntax (<unknown>, line 28)"
48,trdgl_pytorch_120_v1|torch.fft.ifft|7711,fft_and_spectral,torch.fft.ifft,7711,B3_then_B2,length,600,17.888,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,1,1,user,False,True,1,(,False,invalid,0,1,0.27323420074349447,10,0.13670411985018727,5,2045,56,Generate rigorous PyTorch API tests|Documentation snapshot:,fd6e714583696ec4d31b3ce88c5dca4479785bf32735b5cedd981c42a423abc1,"syntax: unterminated string literal (detected at line 34) (<unknown>, line 34)"
49,trdgl_pytorch_120_v1|torch.fft.ihfft|3407,fft_and_spectral,torch.fft.ihfft,3407,B2_then_B3,length,600,18.739,False,False,False,False,syntax,turn_delimiter_runaway_syntax,False,True,0,0,(none),False,False,0,,False,invalid,0,1,0.389247311827957,8,0.2906724511930586,3,2198,50,,de5752059c93c4e1cd211a320a75dd696a1e70db2875021cfa42205395f338a0,"syntax: invalid syntax (<unknown>, line 30)"
50,trdgl_pytorch_120_v1|torch.fft.ihfft|7711,fft_and_spectral,torch.fft.ihfft,7711,B3_then_B2,length,599,18.467,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,4,4,user>model>user>model,False,True,0,,False,invalid,0,1,0.23023255813953492,13,0.09859154929577463,2,2047,51,,2ea1291607441132e3e032af66619ff7dec9df22e42e15a0f805a1fe354afddc,"syntax: unterminated triple-quoted string literal (detected at line 51) (<unknown>, line 51)"
51,trdgl_pytorch_120_v1|torch.fft.irfft2|3407,fft_and_spectral,torch.fft.irfft2,3407,B2_then_B3,length,600,18.638,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,4,2,user>user,False,False,0,,False,invalid,0,1,0.38725490196078427,6,0.2623762376237624,4,1872,48,,a367f75b2b196787c447ce22424d7d25559fdf626ea202b52d9c1f633e1207f3,"syntax: invalid syntax (<unknown>, line 21)"
52,trdgl_pytorch_120_v1|torch.fft.irfft2|7711,fft_and_spectral,torch.fft.irfft2,7711,B3_then_B2,length,600,18.37,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,3,2,user,False,False,0,,False,invalid,0,1,0.5127659574468085,12,0.40343347639484983,4,2141,50,Generate a unit test,f515220f0f7cbe5cf63861e693401de0148a71ceae4800ddeeb62bd537ab3ecb,"syntax: invalid syntax (<unknown>, line 23)"
53,trdgl_pytorch_120_v1|torch.fft.irfft|3407,fft_and_spectral,torch.fft.irfft,3407,B2_then_B3,length,600,18.683,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,4,4,user>model>user>model,False,False,0,,False,invalid,0,1,0.591324200913242,12,0.5207373271889402,8,1847,55,Generate a unit test,6713cb6b498dd1066cf77da2bbb07a03e2e76c32a70479e5cbb0755b3392d879,"syntax: invalid syntax (<unknown>, line 15)"
54,trdgl_pytorch_120_v1|torch.fft.irfft|7711,fft_and_spectral,torch.fft.irfft,7711,B3_then_B2,length,600,18.344,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,3,3,user>model>user,False,False,0,,False,invalid,0,1,0.5487528344671202,10,0.4439359267734554,6,2177,52,,6791aebe6382d7f94408d175b53f0ff151ea31f6dd13fe15e040a08a8dfc3393,"syntax: unexpected indent (<unknown>, line 15)"
55,trdgl_pytorch_120_v1|torch.fft.rfft2|3407,fft_and_spectral,torch.fft.rfft2,3407,B2_then_B3,length,600,18.885,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,4,4,user>model>user>model,False,False,1,(,False,invalid,0,1,0.6014150943396226,8,0.5595238095238095,3,1943,51,Generate rigorous PyTorch API tests|Output exactly one,609acfe8c9b31887263bd5ffffbf5464039f9179256d9994ee43a129a0a1359a,"syntax: invalid syntax (<unknown>, line 14)"
56,trdgl_pytorch_120_v1|torch.fft.rfft2|7711,fft_and_spectral,torch.fft.rfft2,7711,B3_then_B2,length,600,18.664,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,0,1,user,False,False,0,,False,invalid,0,1,0.3847874720357942,7,0.3002257336343115,4,2011,49,Generate a unit test,829a7602916836e4c11d4286736f8d92210a4c13d53aecf0728c24b544e6d5a3,"syntax: invalid syntax. Maybe you meant '==' or ':=' instead of '='? (<unknown>, line 18)"
57,trdgl_pytorch_120_v1|torch.fft.rfft|3407,fft_and_spectral,torch.fft.rfft,3407,B2_then_B3,length,599,18.658,False,False,False,False,syntax,turn_delimiter_runaway_syntax,False,True,0,0,(none),False,False,0,,False,invalid,0,1,0.0672268907563025,5,0.0,1,2115,40,,f3f2f69cb8d1bd6b7f138781a317727c2b5b878d599b6cdba03d4d837e6f224f,"syntax: invalid syntax (<unknown>, line 40)"
58,trdgl_pytorch_120_v1|torch.fft.rfft|7711,fft_and_spectral,torch.fft.rfft,7711,B3_then_B2,length,600,18.444,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,4,4,user>model>user>model,False,False,0,,False,invalid,0,1,0.2510460251046025,7,0.13291139240506333,3,2005,51,Generate a unit test,faa35f96670ed436a621fb7f1106f6a4af741a620e676194a288662a385582af,"syntax: invalid syntax (<unknown>, line 26)"
