source,source_role,source_sha256,source_record_index,baseline,category,task_id,api_group,api,generation_seed,exit_code,stderr_excerpt,raw_output_sha256,evidence
events.checkpoint,campaign_checkpoint,55e61acab475d370f6261be2041fdbb74ef5f06bd8197044df587c60a4f4af09,412,B3,missing_oracle,trdgl_pytorch_120_v1|torch.nn.functional.conv_transpose1d|3407,convolution_and_pooling,torch.nn.functional.conv_transpose1d,3407,1,NameError: name 'kernel' is not defined,187229fa1644667883c401b349f9409f87e9e782bd008fe5fb68ffeaca4e2620,no recognized syntactic oracle
events.checkpoint,campaign_checkpoint,55e61acab475d370f6261be2041fdbb74ef5f06bd8197044df587c60a4f4af09,412,B3,target_not_executed,trdgl_pytorch_120_v1|torch.nn.functional.conv_transpose1d|3407,convolution_and_pooling,torch.nn.functional.conv_transpose1d,3407,1,NameError: name 'kernel' is not defined,187229fa1644667883c401b349f9409f87e9e782bd008fe5fb68ffeaca4e2620,target appears only on statically unreachable or uninvoked function path(s): test_conv_transpose1d
events.checkpoint_2,campaign_checkpoint,8a27a2280f550887be0cf031f900ad1aec16a3441719c17683185c027315d6bc,1,B0,missing_oracle,trdgl_pytorch_120_v1|torch.tensor|7711,tensor_creation,torch.tensor,7711,0,,65256390c5797d65747101b7daec06e22c3a081278e281d27204bb72f3dc3a5a,no recognized syntactic oracle
events.checkpoint_2,campaign_checkpoint,8a27a2280f550887be0cf031f900ad1aec16a3441719c17683185c027315d6bc,241,B1,missing_oracle,trdgl_pytorch_120_v1|torch.tensor|7711,tensor_creation,torch.tensor,7711,0,,97aa8de59d0519990442cf628456665f729338998392f1cf6262f8ae737a6813,no recognized syntactic oracle
events.checkpoint_2,campaign_checkpoint,8a27a2280f550887be0cf031f900ad1aec16a3441719c17683185c027315d6bc,276,B1,wrong_or_missing_target_api,trdgl_pytorch_120_v1|torch.permute|7711,shape_and_composition,torch.permute,7711,0,,3af684f1d81a5bcc513aa5b7a8a2eefd78a1a1225350cdd380e6abdce9174bd6,no exact AST call matching torch.permute; near call tensor.permute (same terminal name on a different receiver)
events.checkpoint_2,campaign_checkpoint,8a27a2280f550887be0cf031f900ad1aec16a3441719c17683185c027315d6bc,405,B1,argument_signature_error,trdgl_pytorch_120_v1|torch.index_put|7711,indexing_gather_and_scatter,torch.index_put,7711,1,"TypeError: index_put_(): argument 'indices' (position 1) must be tuple of Tensors, not Tensor",b4a7d870f1f273e92276501bc4418675c7f64e46893c0fcb1b50f05e6b860f79,"matched runtime diagnostic /argument .+ must be .+[, ]not /"
events.checkpoint_2,campaign_checkpoint,8a27a2280f550887be0cf031f900ad1aec16a3441719c17683185c027315d6bc,415,B1,runtime_error_other,trdgl_pytorch_120_v1|torch.sparse_bsr_tensor|7711,sparse,torch.sparse_bsr_tensor,7711,1,TypeError: 'torch.layout' object is not callable,1f21a6ec7f1ae3d193ff694b5815de3ebc644d24458eb9ddfe68b6363219f008,nonzero exit without a recognized specific diagnostic or timeout
events.checkpoint_2,campaign_checkpoint,8a27a2280f550887be0cf031f900ad1aec16a3441719c17683185c027315d6bc,417,B1,broad_exception_swallowing,trdgl_pytorch_120_v1|torch.sparse_bsc_tensor|7711,sparse,torch.sparse_bsc_tensor,7711,0,,a5143aebef71de092e312975e1c7a21de105628fbf8b1e52eec065f056e7f5ce,broad handler Exception has no re-raise
events.checkpoint_2,campaign_checkpoint,8a27a2280f550887be0cf031f900ad1aec16a3441719c17683185c027315d6bc,429,B1,shape_or_dtype_error,trdgl_pytorch_120_v1|torch.sparse.spdiags|7711,sparse,torch.sparse.spdiags,7711,1,"TypeError: _spdiags() missing 1 required positional arguments: ""shape""",41bbdde8ba4ed9317d12e92697e79f4f7f804087349ce15eace148692636a715,matched runtime diagnostic /\bshape\b|size mismatch|sizes? of tensors? must match|size of tensor .* must match/
events.checkpoint_2,campaign_checkpoint,8a27a2280f550887be0cf031f900ad1aec16a3441719c17683185c027315d6bc,242,B2,oracle_not_executed,trdgl_pytorch_120_v1|torch.tensor|7711,tensor_creation,torch.tensor,7711,0,,ccd804519d40dad0964bd77f5966edb92e0944df00adfbecc00eac0d696955e0,oracle appears only on statically unreachable or uninvoked function path(s): test_torch_tensor_api
events.checkpoint_2,campaign_checkpoint,8a27a2280f550887be0cf031f900ad1aec16a3441719c17683185c027315d6bc,242,B2,target_not_executed,trdgl_pytorch_120_v1|torch.tensor|7711,tensor_creation,torch.tensor,7711,0,,ccd804519d40dad0964bd77f5966edb92e0944df00adfbecc00eac0d696955e0,target appears only on statically unreachable or uninvoked function path(s): test_torch_tensor_api
events.checkpoint_2,campaign_checkpoint,8a27a2280f550887be0cf031f900ad1aec16a3441719c17683185c027315d6bc,242,B2,truncated_generation,trdgl_pytorch_120_v1|torch.tensor|7711,tensor_creation,torch.tensor,7711,0,,ccd804519d40dad0964bd77f5966edb92e0944df00adfbecc00eac0d696955e0,finish_reason=length
events.checkpoint_2,campaign_checkpoint,8a27a2280f550887be0cf031f900ad1aec16a3441719c17683185c027315d6bc,243,B2,syntax_error,trdgl_pytorch_120_v1|torch.as_tensor|7711,tensor_creation,torch.as_tensor,7711,,,f9a8d1e7dcc7ca77e4cd7110e51f5432463a3755f6be0d797e02dba6d542eb68,invalid syntax (line 41)
events.checkpoint_2,campaign_checkpoint,8a27a2280f550887be0cf031f900ad1aec16a3441719c17683185c027315d6bc,246,B2,runtime_error_other,trdgl_pytorch_120_v1|torch.from_numpy|7711,tensor_creation,torch.from_numpy,7711,1,TypeError: can't assign a numpy.float32 to a torch.FloatTensor,5a0b3c281e2aced47aded99936f121704be41d9f1f4711d57a23fb15903ee850,nonzero exit without a recognized specific diagnostic or timeout
events.checkpoint_2,campaign_checkpoint,8a27a2280f550887be0cf031f900ad1aec16a3441719c17683185c027315d6bc,254,B2,fake_assertion,trdgl_pytorch_120_v1|torch.zeros|7711,tensor_creation,torch.zeros,7711,0,,8b30fea802a190cca2d6f1aa399dc4119972e9239caea12ad48729364fc137ff,self-comparison assert
events.checkpoint_2,campaign_checkpoint,8a27a2280f550887be0cf031f900ad1aec16a3441719c17683185c027315d6bc,266,B2,assertion_failure,trdgl_pytorch_120_v1|torch.reshape|7711,shape_and_composition,torch.reshape,7711,1,AssertionError: Reshape failed on non-contiguous input,ee6ad3c049852385f60438ad2a844e77d4f59f4012213a91b6c47671767892af,subprocess terminated with AssertionError
events.checkpoint_2,campaign_checkpoint,8a27a2280f550887be0cf031f900ad1aec16a3441719c17683185c027315d6bc,272,B2,undefined_name_error,trdgl_pytorch_120_v1|torch.unsqueeze|7711,shape_and_composition,torch.unsqueeze,7711,1,NameError: name 'test' is not defined,f8a671c03d30419d2586d86d7a59eb4dabbd2ebb7b65b83aca2962cd67859987,runtime NameError diagnostic
events.checkpoint_2,campaign_checkpoint,8a27a2280f550887be0cf031f900ad1aec16a3441719c17683185c027315d6bc,418,B2,wrong_or_missing_target_api,trdgl_pytorch_120_v1|torch.sparse_bsc_tensor|7711,sparse,torch.sparse_bsc_tensor,7711,0,,2439759530dfa72302298c82f8bbdcd5ed15aaa06e009efd0cb874b98b646e7d,no exact AST call matching torch.sparse_bsc_tensor
events.checkpoint_2,campaign_checkpoint,8a27a2280f550887be0cf031f900ad1aec16a3441719c17683185c027315d6bc,418,B2,missing_oracle,trdgl_pytorch_120_v1|torch.sparse_bsc_tensor|7711,sparse,torch.sparse_bsc_tensor,7711,0,,2439759530dfa72302298c82f8bbdcd5ed15aaa06e009efd0cb874b98b646e7d,no recognized syntactic oracle
events.checkpoint_2,campaign_checkpoint,8a27a2280f550887be0cf031f900ad1aec16a3441719c17683185c027315d6bc,478,B2,broad_exception_swallowing,trdgl_pytorch_120_v1|torch.compile|7711,autograd_transform_compile_and_export,torch.compile,7711,0,,e1f29d74acb0b0d051d4cfe2ccae87e26dfa335ffa6598151363a39731103e16,broad handler Exception has no re-raise
events.checkpoint_2,campaign_checkpoint,8a27a2280f550887be0cf031f900ad1aec16a3441719c17683185c027315d6bc,121,B3,syntax_error,trdgl_pytorch_120_v1|torch.tensor|7711,tensor_creation,torch.tensor,7711,,,460009b3c5d6d414f67ee27ebda6f66d0116afbc0b8b1a4b9a6f1a22098ccd9f,invalid syntax (line 17)
events.checkpoint_2,campaign_checkpoint,8a27a2280f550887be0cf031f900ad1aec16a3441719c17683185c027315d6bc,121,B3,truncated_generation,trdgl_pytorch_120_v1|torch.tensor|7711,tensor_creation,torch.tensor,7711,,,460009b3c5d6d414f67ee27ebda6f66d0116afbc0b8b1a4b9a6f1a22098ccd9f,finish_reason=length
events.checkpoint_2,campaign_checkpoint,8a27a2280f550887be0cf031f900ad1aec16a3441719c17683185c027315d6bc,176,B3,missing_oracle,trdgl_pytorch_120_v1|torch.nn.functional.max_pool2d|7711,convolution_and_pooling,torch.nn.functional.max_pool2d,7711,0,,ef77b7f3ad0d8c0f529bf6bf81c43fb28903b0123e027724f74a1ac9d930bd2a,no recognized syntactic oracle
events.checkpoint_2,campaign_checkpoint,8a27a2280f550887be0cf031f900ad1aec16a3441719c17683185c027315d6bc,183,B3,target_not_executed,trdgl_pytorch_120_v1|torch.nn.functional.group_norm|7711,normalization_activation_and_loss,torch.nn.functional.group_norm,7711,0,,6596064165093e95aa3e05688473dd5344e6f32e7a9fa8a9b8d25f31ce6d4d05,target appears only on statically unreachable or uninvoked function path(s): test_group_norm
